Mask Size 0 Mask set() Leakage 0.4912255474440431
Mask Size 1 Mask {'age'} Leakage 0.48390655849303243
Mask Size 1 Mask {'capital_gain'} Leakage 0.44119241053623615
Mask Size 1 Mask {'capital_loss'} Leakage 0.4912255474440431
Mask Size 1 Mask {'class'} Leakage 0.4421302651304688
Mask Size 1 Mask {'education_num'} Leakage 0.46042813003242167
Mask Size 1 Mask {'hours_per_week'} Leakage 0.4912255474440431
Mask Size 1 Mask {'marital_status'} Leakage 0.4912255474440431
Mask Size 1 Mask {'native_country'} Leakage 0.3969281531160326
Mask Size 1 Mask {'occupation'} Leakage 0.4912255474440431
Mask Size 1 Mask {'race'} Leakage 0.4912255474440431
Mask Size 1 Mask {'relationship'} Leakage 0.3876575545157146
Mask Size 1 Mask {'sex'} Leakage 0.2726821726489277
Mask Size 2 Mask {'age', 'capital_gain'} Leakage 0.43736415669853557
Mask Size 2 Mask {'age', 'capital_loss'} Leakage 0.4839317246711282
Mask Size 2 Mask {'age', 'class'} Leakage 0.4341050146386227
Mask Size 2 Mask {'age', 'education_num'} Leakage 0.4527523729267935
Mask Size 2 Mask {'age', 'hours_per_week'} Leakage 0.48392620978159184
Mask Size 2 Mask {'age', 'marital_status'} Leakage 0.48447398909222794
Mask Size 2 Mask {'age', 'native_country'} Leakage 0.38825264639230594
Mask Size 2 Mask {'age', 'occupation'} Leakage 0.48390655849303243
Mask Size 2 Mask {'age', 'race'} Leakage 0.483913191052453
Mask Size 2 Mask {'age', 'relationship'} Leakage 0.3854242869319815
Mask Size 2 Mask {'age', 'sex'} Leakage 0.26384839770732416
Mask Size 2 Mask {'capital_loss', 'capital_gain'} Leakage 0.4509615589922883
Mask Size 2 Mask {'capital_gain', 'class'} Leakage 0.4032957695576078
Mask Size 2 Mask {'capital_gain', 'education_num'} Leakage 0.4104707532910399
Mask Size 2 Mask {'hours_per_week', 'capital_gain'} Leakage 0.45227859648556834
Mask Size 2 Mask {'capital_gain', 'marital_status'} Leakage 0.3840032729145847
Mask Size 2 Mask {'capital_gain', 'native_country'} Leakage 0.38607319087108916
Mask Size 2 Mask {'occupation', 'capital_gain'} Leakage 0.44119241053623615
Mask Size 2 Mask {'capital_gain', 'race'} Leakage 0.4419942753939222
Mask Size 2 Mask {'relationship', 'capital_gain'} Leakage 0.12413500321044513
Mask Size 2 Mask {'capital_gain', 'sex'} Leakage 0.23918590959922814
Mask Size 2 Mask {'capital_loss', 'class'} Leakage 0.4424367964455269
Mask Size 2 Mask {'capital_loss', 'education_num'} Leakage 0.46046277809509195
Mask Size 2 Mask {'hours_per_week', 'capital_loss'} Leakage 0.4912255474440431
Mask Size 2 Mask {'capital_loss', 'marital_status'} Leakage 0.4912255474440431
Mask Size 2 Mask {'capital_loss', 'native_country'} Leakage 0.40027545116798646
Mask Size 2 Mask {'occupation', 'capital_loss'} Leakage 0.4912255474440431
Mask Size 2 Mask {'capital_loss', 'race'} Leakage 0.4912255474440431
Mask Size 2 Mask {'relationship', 'capital_loss'} Leakage 0.38861661219322874
Mask Size 2 Mask {'capital_loss', 'sex'} Leakage 0.27434320827232905
Mask Size 2 Mask {'education_num', 'class'} Leakage 0.40850223977961175
Mask Size 2 Mask {'hours_per_week', 'class'} Leakage 0.44223887901283754
Mask Size 2 Mask {'marital_status', 'class'} Leakage 0.44962268479175194
Mask Size 2 Mask {'native_country', 'class'} Leakage 0.3659163513198489
Mask Size 2 Mask {'occupation', 'class'} Leakage 0.4421302651304688
Mask Size 2 Mask {'race', 'class'} Leakage 0.4422648068725308
Mask Size 2 Mask {'relationship', 'class'} Leakage 0.33767484007115856
Mask Size 2 Mask {'sex', 'class'} Leakage 0.20488153303225753
Mask Size 2 Mask {'hours_per_week', 'education_num'} Leakage 0.4604477303905746
Mask Size 2 Mask {'education_num', 'marital_status'} Leakage 0.46042813003242167
Mask Size 2 Mask {'education_num', 'native_country'} Leakage 0.36047651096201316
Mask Size 2 Mask {'occupation', 'education_num'} Leakage 0.46042813003242167
Mask Size 2 Mask {'education_num', 'race'} Leakage 0.46053677277980687
Mask Size 2 Mask {'relationship', 'education_num'} Leakage 0.35586534552810667
Mask Size 2 Mask {'education_num', 'sex'} Leakage 0.26298439687777797
Mask Size 2 Mask {'hours_per_week', 'marital_status'} Leakage 0.4912255474440431
Mask Size 2 Mask {'hours_per_week', 'native_country'} Leakage 0.3969281531160326
Mask Size 2 Mask {'occupation', 'hours_per_week'} Leakage 0.4912255474440431
Mask Size 2 Mask {'hours_per_week', 'race'} Leakage 0.4912255474440431
Mask Size 2 Mask {'relationship', 'hours_per_week'} Leakage 0.3876575545157146
Mask Size 2 Mask {'hours_per_week', 'sex'} Leakage 0.2726821726489277
Mask Size 2 Mask {'native_country', 'marital_status'} Leakage 0.3979672789901215
Mask Size 2 Mask {'occupation', 'marital_status'} Leakage 0.4912255474440431
Mask Size 2 Mask {'race', 'marital_status'} Leakage 0.4912255474440431
Mask Size 2 Mask {'relationship', 'marital_status'} Leakage 0.2727656282026826
Mask Size 2 Mask {'sex', 'marital_status'} Leakage 0.293584189251586
Mask Size 2 Mask {'occupation', 'native_country'} Leakage 0.3969281531160326
Mask Size 2 Mask {'native_country', 'race'} Leakage 0.39759034718430664
Mask Size 2 Mask {'relationship', 'native_country'} Leakage 0.2907061934465176
Mask Size 2 Mask {'sex', 'native_country'} Leakage 0.13622427654319103
Mask Size 2 Mask {'occupation', 'race'} Leakage 0.4912255474440431
Mask Size 2 Mask {'occupation', 'relationship'} Leakage 0.4074419571733059
Mask Size 2 Mask {'occupation', 'sex'} Leakage 0.27434320827232905
Mask Size 2 Mask {'relationship', 'race'} Leakage 0.3876575545157146
Mask Size 2 Mask {'sex', 'race'} Leakage 0.2726821726489277
Mask Size 2 Mask {'relationship', 'sex'} Leakage 0.2685467517834049
Mask Size 8 Mask {'age', 'marital_status', 'occupation', 'education_num', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.41364518377624393
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'education_num', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.16364174138960141
Mask Size 8 Mask {'age', 'marital_status', 'occupation', 'education_num', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.2022527418348269
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'education_num', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.17084306787441084
Mask Size 8 Mask {'age', 'marital_status', 'education_num', 'race', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.192542712861696
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'education_num', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.14318771876138092
Mask Size 8 Mask {'age', 'occupation', 'education_num', 'native_country', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.32097451470884353
Mask Size 8 Mask {'age', 'relationship', 'occupation', 'education_num', 'native_country', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.24921217163732856
Mask Size 8 Mask {'age', 'occupation', 'education_num', 'native_country', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.05613041549903075
Mask Size 8 Mask {'age', 'relationship', 'education_num', 'native_country', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.22118407615457003
Mask Size 8 Mask {'age', 'education_num', 'native_country', 'race', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.033019104735232396
Mask Size 8 Mask {'age', 'relationship', 'education_num', 'native_country', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.028749209310315993
Mask Size 8 Mask {'age', 'relationship', 'occupation', 'education_num', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.3516466215459475
Mask Size 8 Mask {'age', 'occupation', 'education_num', 'race', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.16758196874691955
Mask Size 8 Mask {'age', 'relationship', 'occupation', 'education_num', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.16022259022171192
Mask Size 8 Mask {'age', 'relationship', 'education_num', 'race', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.15143725566764066
Mask Size 8 Mask {'age', 'marital_status', 'occupation', 'education_num', 'native_country', 'race', 'capital_loss', 'class'} Leakage 0.33001604674748697
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'education_num', 'native_country', 'capital_loss', 'class'} Leakage 0.03432354727958897
Mask Size 8 Mask {'age', 'marital_status', 'occupation', 'education_num', 'native_country', 'capital_loss', 'sex', 'class'} Leakage 0.08322862510244688
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'education_num', 'native_country', 'race', 'capital_loss', 'class'} Leakage 0.03168927158361523
Mask Size 8 Mask {'age', 'marital_status', 'education_num', 'native_country', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.07293157730332933
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'education_num', 'native_country', 'capital_loss', 'sex', 'class'} Leakage 0.017496870709390322
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'education_num', 'race', 'capital_loss', 'class'} Leakage 0.1546574959558118
Mask Size 8 Mask {'age', 'marital_status', 'occupation', 'education_num', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.19596941152177183
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'education_num', 'capital_loss', 'sex', 'class'} Leakage 0.13573888073042895
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'education_num', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.1369405507156629
Mask Size 8 Mask {'age', 'relationship', 'occupation', 'education_num', 'native_country', 'race', 'capital_loss', 'class'} Leakage 0.2444302346057069
Mask Size 8 Mask {'age', 'occupation', 'education_num', 'native_country', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.05315211409947884
Mask Size 8 Mask {'age', 'relationship', 'occupation', 'education_num', 'native_country', 'capital_loss', 'sex', 'class'} Leakage 0.03717234388760138
Mask Size 8 Mask {'age', 'relationship', 'education_num', 'native_country', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.02563420273575756
Mask Size 8 Mask {'age', 'relationship', 'occupation', 'education_num', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.15399441604107844
Mask Size 8 Mask {'age', 'marital_status', 'occupation', 'native_country', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.3699383271419219
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'native_country', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.09460488958696767
Mask Size 8 Mask {'age', 'marital_status', 'occupation', 'native_country', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.1351113066971521
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'native_country', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.09059680483812982
Mask Size 8 Mask {'age', 'marital_status', 'native_country', 'race', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.12465035943203095
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'native_country', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.07266649482129106
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.2114895849468209
Mask Size 8 Mask {'age', 'marital_status', 'occupation', 'race', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.24591922282098755
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.1915427336105755
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'race', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.1919233115789135
Mask Size 8 Mask {'age', 'relationship', 'occupation', 'native_country', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.2792481177725439
Mask Size 8 Mask {'age', 'occupation', 'native_country', 'race', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.09237039487677878
Mask Size 8 Mask {'age', 'relationship', 'occupation', 'native_country', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.0827424721553014
Mask Size 8 Mask {'age', 'relationship', 'native_country', 'race', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.07779723067099586
Mask Size 8 Mask {'age', 'relationship', 'occupation', 'race', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.20122828253452318
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'native_country', 'race', 'capital_loss', 'class'} Leakage 0.09040157043070429
Mask Size 8 Mask {'age', 'marital_status', 'occupation', 'native_country', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.13280613898954463
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'native_country', 'capital_loss', 'sex', 'class'} Leakage 0.07314313138701267
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'native_country', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.07068886283889253
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.18516845155176598
Mask Size 8 Mask {'age', 'relationship', 'occupation', 'native_country', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.08127289716513197
Mask Size 8 Mask {'age', 'marital_status', 'occupation', 'education_num', 'native_country', 'race', 'capital_loss', 'hours_per_week'} Leakage 0.354233281380805
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'education_num', 'native_country', 'capital_loss', 'hours_per_week'} Leakage 0.1739493770328311
Mask Size 8 Mask {'age', 'marital_status', 'occupation', 'education_num', 'native_country', 'capital_loss', 'sex', 'hours_per_week'} Leakage 0.19459511640021532
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'education_num', 'native_country', 'race', 'capital_loss', 'hours_per_week'} Leakage 0.1685518996020945
Mask Size 8 Mask {'age', 'marital_status', 'education_num', 'native_country', 'race', 'capital_loss', 'sex', 'hours_per_week'} Leakage 0.17778697901842233
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'education_num', 'native_country', 'capital_loss', 'sex', 'hours_per_week'} Leakage 0.09175304063831591
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'education_num', 'race', 'capital_loss', 'hours_per_week'} Leakage 0.288410147049753
Mask Size 8 Mask {'age', 'marital_status', 'occupation', 'education_num', 'race', 'capital_loss', 'sex', 'hours_per_week'} Leakage 0.2970720969124634
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'education_num', 'capital_loss', 'sex', 'hours_per_week'} Leakage 0.21252182428965927
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'education_num', 'race', 'capital_loss', 'sex', 'hours_per_week'} Leakage 0.21024346154210172
Mask Size 8 Mask {'age', 'relationship', 'occupation', 'education_num', 'native_country', 'race', 'capital_loss', 'hours_per_week'} Leakage 0.29214818291737144
Mask Size 8 Mask {'age', 'occupation', 'education_num', 'native_country', 'race', 'capital_loss', 'sex', 'hours_per_week'} Leakage 0.14076409566571113
Mask Size 8 Mask {'age', 'relationship', 'occupation', 'education_num', 'native_country', 'capital_loss', 'sex', 'hours_per_week'} Leakage 0.10520593357480212
Mask Size 8 Mask {'age', 'relationship', 'education_num', 'native_country', 'race', 'capital_loss', 'sex', 'hours_per_week'} Leakage 0.08776679263669418
Mask Size 8 Mask {'age', 'relationship', 'occupation', 'education_num', 'race', 'capital_loss', 'sex', 'hours_per_week'} Leakage 0.22058734949751357
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'education_num', 'native_country', 'race', 'capital_loss'} Leakage 0.1678947909376528
Mask Size 8 Mask {'age', 'marital_status', 'occupation', 'education_num', 'native_country', 'race', 'capital_loss', 'sex'} Leakage 0.1882258977077753
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'education_num', 'native_country', 'capital_loss', 'sex'} Leakage 0.0900900331672958
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'education_num', 'native_country', 'race', 'capital_loss', 'sex'} Leakage 0.08442750558011547
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'education_num', 'race', 'capital_loss', 'sex'} Leakage 0.2135095515424722
Mask Size 8 Mask {'age', 'relationship', 'occupation', 'education_num', 'native_country', 'race', 'capital_loss', 'sex'} Leakage 0.09820747306569821
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'native_country', 'race', 'capital_loss', 'hours_per_week'} Leakage 0.14952959359306095
Mask Size 8 Mask {'age', 'marital_status', 'occupation', 'native_country', 'race', 'capital_loss', 'sex', 'hours_per_week'} Leakage 0.1854338387013954
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'native_country', 'capital_loss', 'sex', 'hours_per_week'} Leakage 0.13979151612776497
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'native_country', 'race', 'capital_loss', 'sex', 'hours_per_week'} Leakage 0.13353802552711125
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'race', 'capital_loss', 'sex', 'hours_per_week'} Leakage 0.25574954597790556
Mask Size 8 Mask {'age', 'relationship', 'occupation', 'native_country', 'race', 'capital_loss', 'sex', 'hours_per_week'} Leakage 0.1417804084017702
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'native_country', 'race', 'capital_loss', 'sex'} Leakage 0.13368992249333078
Mask Size 8 Mask {'age', 'marital_status', 'occupation', 'education_num', 'native_country', 'race', 'hours_per_week', 'class'} Leakage 0.33081098083075866
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'education_num', 'native_country', 'hours_per_week', 'class'} Leakage 0.1051512576134288
Mask Size 8 Mask {'age', 'marital_status', 'occupation', 'education_num', 'native_country', 'sex', 'hours_per_week', 'class'} Leakage 0.15551188184760611
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'education_num', 'native_country', 'race', 'hours_per_week', 'class'} Leakage 0.10294063695639755
Mask Size 8 Mask {'age', 'marital_status', 'education_num', 'native_country', 'race', 'sex', 'hours_per_week', 'class'} Leakage 0.11878000195089533
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'education_num', 'native_country', 'sex', 'hours_per_week', 'class'} Leakage 0.03617485305271351
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'education_num', 'race', 'hours_per_week', 'class'} Leakage 0.2094670596880992
Mask Size 8 Mask {'age', 'marital_status', 'occupation', 'education_num', 'race', 'sex', 'hours_per_week', 'class'} Leakage 0.2440770157827905
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'education_num', 'sex', 'hours_per_week', 'class'} Leakage 0.1468227653435965
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'education_num', 'race', 'sex', 'hours_per_week', 'class'} Leakage 0.142560385791608
Mask Size 8 Mask {'age', 'relationship', 'occupation', 'education_num', 'native_country', 'race', 'hours_per_week', 'class'} Leakage 0.26102426186838223
Mask Size 8 Mask {'age', 'occupation', 'education_num', 'native_country', 'race', 'sex', 'hours_per_week', 'class'} Leakage 0.10325611037263083
Mask Size 8 Mask {'age', 'relationship', 'occupation', 'education_num', 'native_country', 'sex', 'hours_per_week', 'class'} Leakage 0.08618191589777524
Mask Size 8 Mask {'age', 'relationship', 'education_num', 'native_country', 'race', 'sex', 'hours_per_week', 'class'} Leakage 0.052335384275956964
Mask Size 8 Mask {'age', 'relationship', 'occupation', 'education_num', 'race', 'sex', 'hours_per_week', 'class'} Leakage 0.18901256735912675
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'education_num', 'native_country', 'race', 'class'} Leakage 0.09096711060961082
Mask Size 8 Mask {'age', 'marital_status', 'occupation', 'education_num', 'native_country', 'race', 'sex', 'class'} Leakage 0.1424809372045388
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'education_num', 'native_country', 'sex', 'class'} Leakage 0.03791313259592066
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'education_num', 'native_country', 'race', 'sex', 'class'} Leakage 0.020809831208591367
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'education_num', 'race', 'sex', 'class'} Leakage 0.13803232150838018
Mask Size 8 Mask {'age', 'relationship', 'occupation', 'education_num', 'native_country', 'race', 'sex', 'class'} Leakage 0.07202585458669264
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'native_country', 'race', 'hours_per_week', 'class'} Leakage 0.08269667694522276
Mask Size 8 Mask {'age', 'marital_status', 'occupation', 'native_country', 'race', 'sex', 'hours_per_week', 'class'} Leakage 0.13197295130587638
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'native_country', 'sex', 'hours_per_week', 'class'} Leakage 0.06959665523460357
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'native_country', 'race', 'sex', 'hours_per_week', 'class'} Leakage 0.07279966392678627
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'race', 'sex', 'hours_per_week', 'class'} Leakage 0.192798858667661
Mask Size 8 Mask {'age', 'relationship', 'occupation', 'native_country', 'race', 'sex', 'hours_per_week', 'class'} Leakage 0.08677342095846186
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'native_country', 'race', 'sex', 'class'} Leakage 0.071614769809772
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'education_num', 'native_country', 'race', 'hours_per_week'} Leakage 0.14894223096362336
Mask Size 8 Mask {'age', 'marital_status', 'occupation', 'education_num', 'native_country', 'race', 'sex', 'hours_per_week'} Leakage 0.18310153958670394
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'education_num', 'native_country', 'sex', 'hours_per_week'} Leakage 0.09140501164908388
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'education_num', 'native_country', 'race', 'sex', 'hours_per_week'} Leakage 0.09349143897473222
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'education_num', 'race', 'sex', 'hours_per_week'} Leakage 0.2162580821890987
Mask Size 8 Mask {'age', 'relationship', 'occupation', 'education_num', 'native_country', 'race', 'sex', 'hours_per_week'} Leakage 0.1280962791902872
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'education_num', 'native_country', 'race', 'sex'} Leakage 0.09703644377196585
Mask Size 8 Mask {'age', 'relationship', 'marital_status', 'occupation', 'native_country', 'race', 'sex', 'hours_per_week'} Leakage 0.1367084767719663
Mask Size 8 Mask {'marital_status', 'occupation', 'capital_gain', 'education_num', 'native_country', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.31394425551397764
Mask Size 8 Mask {'marital_status', 'capital_gain', 'education_num', 'native_country', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.3129223121648246
Mask Size 8 Mask {'relationship', 'marital_status', 'capital_gain', 'education_num', 'native_country', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.018654890823003978
Mask Size 8 Mask {'marital_status', 'capital_gain', 'education_num', 'native_country', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.023413179653737792
Mask Size 8 Mask {'marital_status', 'occupation', 'capital_gain', 'education_num', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.3327085587148959
Mask Size 8 Mask {'relationship', 'marital_status', 'occupation', 'capital_gain', 'education_num', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.02377494998411811
Mask Size 8 Mask {'marital_status', 'occupation', 'capital_gain', 'education_num', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.03269148689861334
Mask Size 8 Mask {'relationship', 'marital_status', 'capital_gain', 'education_num', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.02877330948443746
Mask Size 8 Mask {'marital_status', 'capital_gain', 'education_num', 'race', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.030699122416687374
Mask Size 8 Mask {'relationship', 'marital_status', 'capital_gain', 'education_num', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.003915998437955537
Mask Size 8 Mask {'occupation', 'capital_gain', 'education_num', 'native_country', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.325933112091647
Mask Size 8 Mask {'relationship', 'occupation', 'capital_gain', 'education_num', 'native_country', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.0368853250038762
Mask Size 8 Mask {'occupation', 'capital_gain', 'education_num', 'native_country', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.1133419626477632
Mask Size 8 Mask {'relationship', 'capital_gain', 'education_num', 'native_country', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.03702656329882381
Mask Size 8 Mask {'capital_gain', 'education_num', 'native_country', 'race', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.042384220685274476
Mask Size 8 Mask {'relationship', 'capital_gain', 'education_num', 'native_country', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.003011914016261441
Mask Size 8 Mask {'relationship', 'occupation', 'capital_gain', 'education_num', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.08468699556327774
Mask Size 8 Mask {'occupation', 'capital_gain', 'education_num', 'race', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.1646948170755682
Mask Size 8 Mask {'relationship', 'occupation', 'capital_gain', 'education_num', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.01217504859756302
Mask Size 8 Mask {'relationship', 'capital_gain', 'education_num', 'race', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.015723073415209177
Mask Size 8 Mask {'marital_status', 'occupation', 'capital_gain', 'education_num', 'native_country', 'race', 'capital_loss', 'class'} Leakage 0.313197762982257
Mask Size 8 Mask {'relationship', 'marital_status', 'occupation', 'capital_gain', 'education_num', 'native_country', 'capital_loss', 'class'} Leakage 0.01008263753830907
Mask Size 8 Mask {'marital_status', 'occupation', 'capital_gain', 'education_num', 'native_country', 'capital_loss', 'sex', 'class'} Leakage 0.010743305608972187
Mask Size 8 Mask {'relationship', 'marital_status', 'capital_gain', 'education_num', 'native_country', 'race', 'capital_loss', 'class'} Leakage 0.018912654667737172
Mask Size 8 Mask {'marital_status', 'capital_gain', 'education_num', 'native_country', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.022663609053262146
Mask Size 8 Mask {'relationship', 'marital_status', 'capital_gain', 'education_num', 'native_country', 'capital_loss', 'sex', 'class'} Leakage 0.0007050035907761876
Mask Size 8 Mask {'relationship', 'marital_status', 'occupation', 'capital_gain', 'education_num', 'race', 'capital_loss', 'class'} Leakage 0.029233642760667866
Mask Size 8 Mask {'marital_status', 'occupation', 'capital_gain', 'education_num', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.03642444839235437
Mask Size 8 Mask {'relationship', 'marital_status', 'occupation', 'capital_gain', 'education_num', 'capital_loss', 'sex', 'class'} Leakage 0.002821520700619695
Mask Size 8 Mask {'relationship', 'marital_status', 'capital_gain', 'education_num', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.008642421387958454
Mask Size 8 Mask {'relationship', 'occupation', 'capital_gain', 'education_num', 'native_country', 'race', 'capital_loss', 'class'} Leakage 0.036497118400448336
Mask Size 8 Mask {'occupation', 'capital_gain', 'education_num', 'native_country', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.1036232515931319
Mask Size 8 Mask {'relationship', 'occupation', 'capital_gain', 'education_num', 'native_country', 'capital_loss', 'sex', 'class'} Leakage 0.0029088016157520213
Mask Size 8 Mask {'relationship', 'capital_gain', 'education_num', 'native_country', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.0037010442767593243
